raceA,raceB,budget,first_mode,winrateA,avg_aliveA,avg_aliveB,avg_remHpA,avg_remHpB,avg_turns,sims_run
Virix,Ertrian,10000,B,0.4666666666666667,2.65,4.683333333333334,1797.5,2456.6666666666665,21.116666666666667,60
Virix,Ertrian,10000,alternate,0.6,3.283333333333333,3.566666666666667,2169.6666666666665,1645.0,20.133333333333333,60
Virix,Sentus,10000,A,0.6833333333333333,5.133333333333334,2.8333333333333335,2680.0,2221.6666666666665,21.933333333333334,60
Virix,Sentus,10000,B,0.5166666666666667,3.1166666666666667,3.75,1883.3333333333333,2593.3333333333335,17.666666666666668,60
Virix,Sentus,10000,alternate,0.6,4.016666666666667,3.6,2436.6666666666665,2685.0,21.766666666666666,60
Ertrian,Sentus,14000,A,0.65,4.283333333333333,2.7,2710.8333333333335,2513.5,10.8,60
Ertrian,Sentus,14000,B,0.4166666666666667,1.8,6.25,1100.8333333333333,5388.0,16.116666666666667,60
Ertrian,Sentus,14000,alternate,0.38333333333333336,2.533333333333333,5.933333333333334,1701.6666666666667,4984.166666666667,14.95,60
Ertrian,Virix,14000,A,0.5333333333333333,6.533333333333333,3.35,3315.0,2165.1666666666665,22.45,60
Ertrian,Virix,14000,B,0.45,4.866666666666666,4.566666666666666,2493.3333333333335,2797.8333333333335,22.233333333333334,60
Ertrian,Virix,14000,alternate,0.55,6.433333333333334,4.35,3181.6666666666665,2739.8333333333335,24.116666666666667,60
Sentus,Ertrian,14000,A,0.6333333333333333,7.583333333333333,1.75,5989.833333333333,1051.6666666666667,16.516666666666666,60
Sentus,Ertrian,14000,B,0.3333333333333333,3.25,4.183333333333334,2730.5,2672.5,15.866666666666667,60
Sentus,Ertrian,14000,alternate,0.4666666666666667,4.433333333333334,3.1666666666666665,4017.1666666666665,1992.5,12.333333333333334,60
Sentus,Virix,14000,A,0.6166666666666667,7.45,4.683333333333334,5570.0,2798.3333333333335,27.366666666666667,60
Sentus,Virix,14000,B,0.48333333333333334,5.25,5.65,4096.666666666667,3225.0,24.966666666666665,60
Sentus,Virix,14000,alternate,0.38333333333333336,5.216666666666667,5.983333333333333,4020.0,3272.5,22.35,60
Virix,Ertrian,14000,A,0.48333333333333334,5.266666666666667,5.633333333333334,2789.0,2966.6666666666665,21.333333333333332,60
Virix,Ertrian,14000,B,0.5666666666666667,4.15,5.266666666666667,2720.6666666666665,2730.0,24.833333333333332,60
Virix,Ertrian,14000,alternate,0.4166666666666667,5.5,6.75,2913.1666666666665,3506.6666666666665,24.2,60
Virix,Sentus,14000,A,0.5,6.583333333333333,5.4,3403.3333333333335,4436.666666666667,24.966666666666665,60
Virix,Sentus,14000,B,0.43333333333333335,4.466666666666667,7.066666666666666,2580.0,5543.333333333333,27.2,60
Virix,Sentus,14000,alternate,0.6166666666666667,6.216666666666667,4.383333333333334,3461.6666666666665,3780.0,23.733333333333334,60
